recipe_title;category;subcategory;description;ingredients;directions;num_ingredients;num_steps
Bagel and Cheese Bake;Breakfast And Brunch;Breakfast Casseroles;This recipe is made the night before and popped in the oven in the morning. A great homemade breakfast sandwich taste in a casserole form.;"[""\u00bd pound bacon, diced"", ""\u00bd cup chopped onion"", ""3 plain bagels"", ""1 cup shredded sharp Cheddar cheese"", ""12 eggs, beaten"", ""2 cups milk"", ""2 teaspoons chopped fresh parsley"", ""\u00bc teaspoon pepper"", ""\u00bd cup grated Parmesan cheese""]";"[""Place the bacon and onion in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, and set aside. Slice each bagel into 4 thin slices."", ""Arrange 6 bagel slices in the bottom of a lightly greased 9x13 inch baking dish. Cover with the bacon and onion mixture, followed by the Cheddar cheese. Top with remaining bagel slices."", ""In a medium bowl, whisk together the eggs, milk, parsley, and pepper. Pour the egg mixture over the bagel layers. Cover, and refrigerate 8 hours or overnight."", ""Preheat oven to 400 degrees F (200 degrees C). Uncover the chilled bagel dish, and bake in the preheated oven 25 to 30 minutes, or until eggs are firm. Sprinkle with Parmesan cheese, and serve warm.""]";9;4
Peanut Butter and Jelly French Toast Casserole;Breakfast And Brunch;Breakfast Casseroles;If you're a PB&J fan, get ready for a treat. This fun twist on French toast is a combination of bread pudding and a peanut butter and jelly sandwich.;"[""14 slices brioche bread"", ""7 tablespoons peanut butter"", ""7 tablespoons jam""]";"[""Spray an 8x12-inch to 9x13-inch baking dish with nonstick cooking spray, and set aside."", ""Spread half of bread slices with peanut butter, and the remainder with jelly, 1 tablespoon each slice. Make 7 sandwiches by combining a peanut butter bread slice with a jelly bread slice."", ""Brioche is pretty square in shape, so quarter each sandwich, making a total of 28 mini sandwiches. If your bread is a different shape, you may want to consider cutting the mini sandwiches differently. Place the mini sandwiches in rows, cut sides up, in the prepared baking dish, arranging the rows right next to each other."", ""Make custard: Whisk milk, eggs, honey, vanilla, and salt in a bowl. Drizzle custard over sandwiches, making sure each is well coated. Don't worry if custard pools at the bottom of the dish\u2013the bread will soak it up. Cover casserole with foil, and refrigerate for at least 8 hours or overnight."", ""Preheat the oven to 350 degrees F (175 degrees C)."", ""Bake casserole in the preheated oven, covered, for 30 minutes. Remove foil, and bake until sandwiches start to crisp and turn golden brown, 20 to 30 minutes more. Sprinkle with confectioners sugar or drizzle with maple syrup.""]";3;6
Ham and Cheese Croissant Casserole;Breakfast And Brunch;Breakfast Casseroles;Perfect for a lazy weekend breakfast, or add a side salad and enjoy this unique and delicious casserole for a weekday lunch or breakfast-for-dinner. This is the ideal size for a small family, but may be easily doubled.;"[""1 \u00bd tablespoons unsalted butter, softened"", ""1 tablespoon Dijon mustard"", ""2 tablespoons minced onion"", ""1 teaspoon maple syrup"", ""\u00bc teaspoon Worcestershire sauce"", ""4 croissants, split"", ""8 thin slices deli ham"", ""3 ounces shredded Swiss cheese"", ""3 eggs"", ""\u00be cup 2% milk"", ""\u00bd teaspoon salt"", ""\u00bc teaspoon freshly ground black pepper"", ""\u00bc teaspoon garlic powder"", ""1 teaspoon everything bagel seasoning (Optional)""]";"[""Whisk together butter, Dijon, onion, maple syrup, and Worcestershire in a small bowl. Evenly spread butter mixture on the cut sides of the croissants."", ""Place the croissant bottom halves on a cutting board; layer on ham, folding to fit the croissant. Sprinkle cheese evenly among the croissants; place top halves on each."", ""Preheat the oven to 350 degrees F (175 degrees C)."", ""Spray a casserole dish or a cast iron skillet large enough to accommodate croissants with cooking spray. Place croissants in a single layer in the prepared pan."", ""Whisk together eggs, milk, salt, pepper, and garlic powder in a medium bowl, and pour evenly over the croissants. Sprinkle each croissant with bagel seasoning. Set the dish aside for about 10 minutes."", ""Bake in the preheated oven until croissants are golden brown and egg mixture is perfectly set, 32 to 38 minutes. Check casserole at about 25 minutes, and if croissants are getting very browned, cover with foil. Serve hot.""]";14;6
Overnight Breakfast Bake with Ham, Cheese, and Croissants;Breakfast And Brunch;Breakfast Casseroles;This overnight breakfast casserole is just the right size for smaller families. We love this with cherry tomatoes, but it is equally nice with fruit. You could also call this a savory bread pudding and serve it for lunch, with a salad. If you love mustard, double the Dijon amount in the recipe.;"[""butter-flavored cooking spray"", ""2 large croissants"", ""\u00bd cup shredded Gruyere cheese"", ""1 cup diced cooked ham"", ""6 large eggs"", ""\u00be cup milk"", ""\u00bd cup sour cream"", ""\u00bc teaspoon salt"", ""\u00bc teaspoon freshly ground black pepper"", ""1 tablespoon Dijon mustard"", ""2 tablespoons chopped green onions (Optional)""]";"[""Spray an 8x8-inch baking pan with cooking spray."", ""Cut croissants into 1 inch cubes (about 4 cups, loosely packed) and spread out on the bottom of the prepared pan. Sprinkle evenly with cheese and ham."", ""Combine eggs, milk, sour cream, Dijon mustard, salt, and pepper in a bowl. Beat the mixture until well blended using a wire whisk or an egg beater."", ""Pour egg mixture evenly over the top of the croissants, cheese, and ham."", ""Cover tightly with aluminum foil and place in the refrigerator for 8 hours."", ""When ready to bake, set the dish out of the refrigerator on the counter, Preheat the oven to 350 degrees F (175 degrees C)."", ""Uncover casserole, place in the center of the preheated oven, and bake until the casserole is set, and a knife inserted into the middle of the casserole comes out clean, 45 to 55 minutes."", ""Cut into serving pieces and garnish with chopped green onions.""]";11;8
Super Easy Egg Casserole;Breakfast And Brunch;Breakfast Casseroles;Tasty egg casserole that husband approves! I frequently make this dish for breakfast because it's so easy to make. This recipe can be easily doubled or tripled to feed a crowd, but you may have to bake it longer.;"[""6 large eggs, whisked"", ""1 cup shredded Cheddar cheese"", ""6 slices bacon or ham, diced"", ""2 slices bread, cubed"", ""\u2153 red bell pepper, diced"", ""2 green onions, chopped"", ""3 tablespoons milk"", ""\u00bd teaspoon minced garlic, or to taste (Optional)"", ""salt and ground black pepper to taste""]";"[""Gather all ingredients."", ""Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish."", ""Mix eggs, cheese, bacon, bread, red bell pepper, green onion, milk, garlic, salt, and black pepper together in a bowl until well-combined; pour into the prepared baking dish."", ""Bake in the preheated oven until eggs are set, about 20 to 25 minutes."", ""Enjoy!""]";9;5
Leftover Ham -n- Potato Casserole;Breakfast And Brunch;Breakfast Casseroles;This easy, cheesy ham and potato casserole uses up leftover Christmas or Easter ham! It's perfect for a post-holiday breakfast or weeknight dinner. My family looks forward to this classic combination.;"[""6 small potatoes, peeled and cut into \u00bd-inch cubes"", ""7 tablespoons butter, divided"", ""\u2154 pound leftover cooked ham, cut into \u00bd-inch cubes"", ""1 small onion, finely chopped"", ""3 tablespoons all-purpose flour"", ""1 \u00bd cups milk"", ""salt and ground black pepper to taste"", ""1 (8 ounce) package shredded Cheddar cheese"", ""\u00bc cup bread crumbs""]";"[""Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, 10 to 15 minutes."", ""Meanwhile, preheat the oven to 350 degrees F (175 degrees C). Grease a 1 \u00bd-quart baking dish."", ""When the potatoes are almost finished, melt 3 tablespoons butter in a skillet over medium heat. Add ham and onion; cook and stir until the onion has softened and turned translucent, about 5 minutes. Remove from the heat."", ""Drain potatoes; add to the ham mixture and stir to combine. Transfer to the prepared baking dish."", ""Melt remaining 4 tablespoons butter in a saucepan over medium heat. Whisk in flour and stir until the mixture becomes paste-like and light golden brown, about 5 minutes."", ""Gradually whisk milk into the flour mixture; season with salt and black pepper. Continue cooking and stirring until thickened, about 2 minutes. Reduce heat to medium-low and stir in Cheddar cheese until melted."", ""Pour cheese sauce over ham and potatoes. Sprinkle bread crumbs over top."", ""Bake in the preheated oven until sauce is bubbly and browned, 25 to 30 minutes."", ""Serve hot and enjoy!""]";9;9
Baked French Toast;Breakfast And Brunch;Breakfast Casseroles;I got this baked French toast recipe from my sister in law. She and my brother had it at their gift opening after the wedding. I make it any time we have people staying with us, and it is always a hit. You may sprinkle the top with pecans if you wish.;"[""1 (1 pound) loaf French bread, cut diagonally in 1 inch slices"", ""8 large eggs"", ""2 cups milk"", ""1 \u00bd cups half-and-half cream"", ""2 teaspoons vanilla extract"", ""\u00bc teaspoon ground cinnamon"", ""\u00be cup butter"", ""1 \u2153 cups brown sugar"", ""3 tablespoons light corn syrup""]";"[""Butter a 9x13-inch baking dish; arrange slices of bread on the bottom."", ""Beat eggs, milk, cream, vanilla, and cinnamon together in a large bowl. Pour over bread slices, cover, and refrigerate overnight."", ""The next morning, preheat the oven to 350 degrees F (175 degrees C). Meanwhile, combine butter, brown sugar, and corn syrup together in a small saucepan; heat until bubbling."", ""Pour over bread and egg mixture."", ""Bake in preheated oven, uncovered, for 40 minutes."", ""Serve with berries and syrup.""]";9;6
Overnight Christmas Breakfast Casserole;Breakfast And Brunch;Breakfast Casseroles;"I certainly cannot take credit for this Christmas breakfast casserole recipe as it's a classic. Some know it as wife saver, others would call it a strata. Make this tasty breakfast dish the night before and just pop it in the oven on Christmas morning; let it cook while you open gifts and sip your rum-spiked coffee!";"[""16 slices bread, crusts removed - divided"", ""16 slices Canadian bacon"", ""16 slices sharp Cheddar cheese"", ""6 large eggs"", ""\u00bd teaspoon salt"", ""\u00bd teaspoon ground black pepper"", ""1 teaspoon dry mustard"", ""\u00bc cup minced onion"", ""2 tablespoons diced green bell pepper"", ""2 tablespoons diced red bell pepper"", ""2 teaspoons Worcestershire sauce"", ""1 dash hot sauce"", ""3 cups whole milk"", ""\u00bd cup butter, melted"", ""1 cup crushed corn flakes cereal""]";"[""Butter a 9x13-inch baking dish. Cut and fit 8 slices of bread to fit over entire bottom of dish. Cover bread with slices of Canadian bacon and sharp Cheddar cheese. Cut and fit remaining 8 slices of bread to completely cover bacon and cheese."", ""Whisk eggs with salt and black pepper in a bowl. Whisk dry mustard, onion, diced green and red bell pepper, Worcestershire sauce, and hot sauce into eggs. Whisk in milk until egg mixture is smoothly combined. Pour egg mixture evenly over the casserole. Cover the dish and refrigerate overnight."", ""Preheat oven to 350 degrees F (175 degrees C)."", ""Pour melted butter evenly over the casserole and sprinkle corn flake crumbs over the top."", ""Bake in the preheated oven until set and lightly browned, about 1 hour. Let casserole stand for 10 minutes before serving.""]";15;5
Sausage Gravy Casserole;Breakfast And Brunch;Breakfast Casseroles;A quick and easy sausage gravy casserole with biscuits that can be made the night before and popped into the oven in the morning.;"[""1 (16 ounce) package Jimmy Dean premium pork sausage"", ""1 teaspoon onion powder"", ""1 teaspoon garlic powder"", ""\u00bd teaspoon chicken bouillon powder, or more to taste"", ""ground black pepper to taste"", ""2 tablespoons quick-mixing all-purpose flour, or more to taste"", ""3 cups milk"", ""1 teaspoon unsalted butter, or as needed"", ""1 (10 count) package refrigerated buttermilk biscuits""]";"[""Add sausage to a large skillet over medium-high heat. Cook and stir with a spatula, breaking apart sausage, 5 to 7 minutes. Add onion powder, garlic powder, bouillon, and pepper. Mix until well combined and fully cooked, 5 to 7 minutes more."", ""Stir in flour and milk until well combined. Bring to a boil, reduce heat to a simmer and stir until thickened, 5 to 7 minutes. Adjust seasoning to taste. Set aside."", ""Preheat the oven to 350 degrees F (175 degrees C). Grease a 9 x 13-inch baking dish with butter and set aside."", ""Cut each biscuit into four pieces. Arrange 1/2 of the biscuits in the bottom of the baking dish. Cover with sausage-gravy mixture. Top with remaining 1/2 of the biscuits."", ""Bake in the preheated oven until biscuits are fully cooked and golden brown, 13 to 15 minutes."", ""Remove from the oven and let stand for 3 to 5 minutes before serving.""]";9;6
Best Breakfast Casserole (Hash Browns & Eggs);Breakfast And Brunch;Breakfast Casseroles;This breakfast casserole with hash browns is my family's recipe that has been handed down through the years. We've always used the maple-flavored pork sausage but any kind is good. This casserole is a nice and cozy breakfast or brunch meal that everyone will enjoy. It's got the perfect taste with lots of cheese. Yum! Be sure to use a baking dish that is deep enough to cover with aluminum foil.;"[""1 (2 pound) package frozen hash brown potatoes, thawed"", ""1 pound pork sausage"", ""1 small onion, diced"", ""5 large eggs"", ""\u00bd cup milk"", ""\u00bd teaspoon onion powder"", ""\u215b teaspoon garlic powder"", ""salt and ground black pepper to taste"", ""12 ounces shredded Cheddar cheese""]";"[""Gather all ingredients."", ""Preheat the oven to 350 degrees F (175 degrees C). Grease an 8-inch square pan; add hash brown potatoes and arrange in an even layer."", ""Place sausage and onion in a large skillet over medium heat. Cook and stir until the sausage is browned and crumbled, about 10 minutes; drain."", ""Meanwhile, whisk eggs, milk, onion powder, garlic powder, salt, and pepper together in a large bowl until well combined."", ""Pour over the potatoes and sprinkle with 1/2 of the Cheddar cheese."", ""Add sausage mixture on top and sprinkle with remaining Cheddar. Cover with aluminum foil."", ""Bake in the preheated oven for 1 hour. Remove foil; return casserole to the oven and bake until a knife inserted into the center comes out clean, about 10 minutes."", ""Let stand for 5 minutes before serving.""]";9;8
Overnight Blueberry French Toast;Breakfast And Brunch;Breakfast Casseroles;This blueberry French toast casserole is made the night before and baked in the morning for a very delicious holiday breakfast or brunch. It's bursting with fresh blueberries, and covered with a rich blueberry sauce to make it one-of-a-kind!;"[""12 slices day-old bread, cut into 1-inch cubes"", ""2 (8 ounce) packages cream cheese, cut into 1-inch cubes"", ""1 cup fresh blueberries"", ""12 large eggs, beaten"", ""2 cups milk"", ""1 teaspoon vanilla extract"", ""\u2153 cup maple syrup""]";"[""Gather all ingredients."", ""Prepare casserole: Lightly grease a 9x13-inch baking dish. Arrange 1/2 of the bread cubes in the dish and top with cream cheese cubes."", ""Sprinkle blueberries over the cream cheese, then top with remaining bread cubes."", ""Whisk eggs, milk, vanilla extract, and syrup together in a large bowl until well-combined; pour over the bread cubes. Cover and refrigerate overnight."", ""Remove casserole from the refrigerator about 30 minutes before baking. Preheat the oven to 350 degrees F (175 degrees C)."", ""Bake casserole in the preheated oven, covered, for 30 minutes. Uncover, and continue baking until center is firm and surface is lightly browned, about 25 to 30 minutes."", ""Meanwhile, prepare blueberry sauce: Mix sugar, water, and cornstarch together in a medium saucepan; bring to a boil and cook, stirring constantly, 3 to 4 minutes. Stir in blueberries, reduce heat to low, and simmer until all the blueberries burst, about 10 minutes. Stir in butter."", ""Serve portions of casserole on plates and pour warm syrup over top.""]";7;8
Restaurant-Style Hashbrown Casserole;Breakfast And Brunch;Breakfast Casseroles;This hashbrown casserole is a great way to dress up frozen hashbrowns! Substitute Colby cheese for a change from the usual Cheddar.;"[""1 (2 pound) package frozen hash brown potatoes, thawed"", ""1 (10.75 ounce) can condensed cream of chicken soup"", ""2 cups shredded Cheddar cheese"", ""\u00bd cup chopped onion"", ""\u00bd cup butter, softened"", ""1 teaspoon salt"", ""\u00bd teaspoon ground black pepper""]";"[""Gather all ingredients."", ""Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch dish with nonstick cooking spray."", ""Gently mix potatoes, soup, cheese, onion, butter, salt, and pepper in a large bowl. Pour into the prepared dish."", ""Bake in the preheated oven until browned, about 1 hour."", ""Serve and enjoy!""]";7;5
Breakfast Sausage Casserole;Breakfast And Brunch;Breakfast Casseroles;My mom made this sausage breakfast casserole for us on Christmas morning. We still look forward to eating it every year. It's meaty, cheesy, and delicious — everyone enjoys it!;"[""1 pound ground pork sausage"", ""1 teaspoon mustard powder"", ""\u00bd teaspoon salt"", ""4 large eggs, beaten"", ""2 cups milk"", ""6 slices white bread, toasted and cut into cubes"", ""8 ounces mild Cheddar cheese, shredded""]";"[""Crumble sausage into a medium skillet. Cook over medium heat until evenly brown; drain."", ""In a medium bowl, mix together mustard powder, salt, eggs and milk. Add the sausage, bread cubes, and cheese, and stir to coat evenly."", ""Pour into a greased 9x13 inch baking dish. Cover, and chill in the refrigerator for 8 hours, or overnight."", ""Preheat oven to 350 degrees F (175 degrees C). Cover, and bake 45 to 60 minutes."", ""Uncover, and reduce temperature to 325 degrees F (165 degrees C). Bake for an additional 30 minutes, or until set"", ""Serve hot and enjoy!""]";7;6
Tater Tot Breakfast Casserole;Breakfast And Brunch;Breakfast Casseroles;This Tater Tot breakfast casserole with eggs and Cheddar cheese is easy to prep making it perfect for a lazy weekend morning!;"[""cooking spray"", ""\u00bd pound breakfast sausage"", ""1 small onion, diced"", ""\u00bd cup milk"", ""5 large eggs"", ""\u00bd teaspoon onion powder"", ""\u00bd teaspoon salt"", ""\u00bc teaspoon garlic powder"", ""\u00bc teaspoon ground black pepper"", ""1 (12 ounce) package shredded Cheddar cheese, divided"", ""1 (16 ounce) package frozen bite-size potato nuggets (such as Tater Tots)""]";"[""Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly spray a 2-quart baking dish with cooking spray."", ""Heat a large skillet over medium-high heat. Cook and stir sausage and onion in the hot skillet until sausage is browned and crumbly, 5 to 7 minutes. Drain and cool."", ""Meanwhile, whisk milk, eggs, onion powder, salt, garlic powder, and pepper together in a bowl."", ""Spread sausage mixture over the bottom of the prepared baking dish. Pour egg mixture over the top."", ""Layer with 1/2 of the Cheddar cheese and all of the potato nuggets. Cover with aluminum foil."", ""Bake in the preheated oven for 40 minutes. Remove foil and sprinkle with the remaining cheese. Bake until melted, about 20 minutes more. Remove from the oven and let stand briefly before serving.""]";11;6
Sausage Casserole;Breakfast And Brunch;Breakfast Casseroles;This sausage casserole recipe makes a mouth-watering, bowl-scraping good breakfast or dinner!;"[""1 pound sage flavored breakfast sausage"", ""3 cups shredded potatoes, drained and pressed"", ""\u00bc cup butter, melted"", ""1 (16 ounce) container small curd cottage cheese"", ""12 ounces mild Cheddar cheese, shredded"", ""\u00bd cup onion, shredded"", ""6 jumbo eggs""]";"[""Gather the ingredients. Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch baking dish."", ""Heat a large, deep skillet over medium-high heat. Cook sausage in the hot skillet until evenly browned and crumbly, 5 to 7 minutes. Drain and discard grease."", ""Stir together shredded potatoes and butter in the prepared baking dish; lightly press mixture into the bottom and sides of the dish."", ""Mix together sausage, cottage cheese, Cheddar cheese, onion, and eggs in a bowl. Pour over potato mixture."", ""Bake in the preheated oven until a toothpick inserted into the center of casserole comes out clean, about 1 hour. Let cool for 5 minutes before serving."", ""Enjoy!""]";7;6
Cheesy Ham and Hash Brown Casserole;Breakfast And Brunch;Breakfast Casseroles;This ham and hash brown casserole is quick and easy to make, not to mention delicious! I mostly serve this as a breakfast casserole, but it's great anytime!;"[""cooking spray"", ""1 (32 ounce) package frozen hash brown potatoes"", ""2 (10.5 ounce) cans condensed cream of potato soup"", ""1 (16 ounce) container sour cream"", ""2 cups shredded sharp Cheddar cheese"", ""8 ounces cooked, diced ham"", ""1 \u00bd cups grated Parmesan cheese""]";"[""Gather all ingredients. Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 9x13-inch baking dish with cooking spray."", ""Mix together hash browns, condensed soup, sour cream, Cheddar cheese, and ham in a bowl until well combined."", ""Spread evenly into the prepared dish. Sprinkle with Parmesan cheese."", ""Bake in the preheated oven until bubbly and lightly brown, about 1 hour."", ""Enjoy!""]";7;5
Jimmy Dean Breakfast Casserole;Breakfast And Brunch;Breakfast Casseroles;This breakfast casserole with bread, sausage, eggs, and cheese makes breakfast a breeze. It's an all-in-one breakfast casserole that may be assembled and refrigerated up to 12 hours before baking. The tomatoes and mushrooms are optional.;"[""cooking spray"", ""1 (16 ounce) package Regular Flavor Jimmy Dean Pork Sausage"", ""10 large eggs, lightly beaten"", ""3 cups milk"", ""2 teaspoons dry mustard"", ""1 teaspoon salt"", ""6 cups cubed bread"", ""2 cups shredded sharp Cheddar cheese"", ""1 medium tomato, seeded and chopped"", ""\u00bd cup sliced mushrooms"", ""\u00bd cup thin-sliced green onion"", ""\u00bd teaspoon black pepper""]";"[""Preheat the oven to 325 degrees F (165 degrees C). Grease a 9x13-inch baking dish with cooking spray."", ""Cook sausage in a large skillet over medium-high heat, stirring frequently, until thoroughly cooked and no longer pink, 8 to 10 minutes. Remove from heat."", ""Combine eggs, milk, dry mustard, and salt in a large bowl; stir well."", ""Distribute 1/2 of the bread evenly into the prepared dish. Sprinkle with 1/2 of the sausage, 1/2 of the cheese, 1/2 of the tomato, 1/2 of the mushroom, 1/2 of the green onion, and 1/2 of the black pepper. Repeat layers one more time. Pour egg mixture evenly over casserole."", ""Bake uncovered until eggs are set, 55 to 60 minutes. Tent with foil if the top begins to brown too quickly.""]";12;5
Southern Grits Casserole;Breakfast And Brunch;Breakfast Casseroles;You'll love this grits casserole with ground sausage and cheese, especially if you're from the South. When I cook it, I place it in the slow cooker to stay warm. There is nothing worse than cold grits for breakfast!;"[""6 cups water"", ""2 cups uncooked grits"", ""3 cups shredded Cheddar cheese, divided"", ""\u00bd cup butter, cut into pieces, divided"", ""1 pound ground pork sausage"", ""12 large eggs"", ""\u00bd cup milk"", ""salt and pepper to taste""]";"[""Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a large baking dish."", ""Bring water to a boil in a large saucepan; stir in grits. Reduce the heat, cover, and simmer until liquid has been absorbed, about 5 minutes. Mix in 2 cups Cheddar cheese and 1/2 of the butter until melted."", ""Cook sausage in a skillet over medium-high heat until browned and crumbly, 5 to 7 minutes. Drain and add to grits mixture."", ""Whisk eggs and milk together in a bowl. Pour into the skillet used to cook the sausage. Lightly scramble eggs over medium-low heat, then mix into grits mixture."", ""Pour grits mixture into the prepared baking dish. Dot with remaining butter, sprinkle with remaining 1 cup Cheddar, and season with salt and pepper."", ""Bake in the preheated oven until lightly browned, about 30 minutes.""]";8;6
Sausage and Egg Casserole;Breakfast And Brunch;Breakfast Casseroles;This sausage and egg casserole recipe is the perfect combination of eggs, sausage, bread, and cheese. It's tender and delicious, and the family likes it!;"[""1 pound bulk pork sausage"", ""8 large eggs"", ""2 \u00bd cups milk"", ""1 teaspoon salt"", ""1 teaspoon ground mustard"", ""6 slices white bread, cut into 1/2-inch cubes"", ""1 cup shredded Cheddar cheese"", ""cooking spray""]";"[""Gather all ingredients."", ""Heat a large skillet over medium-high heat and stir in sausage. Cook and stir until sausage is crumbly, evenly browned, and no longer pink, about 10 minutes. Drain and discard any excess grease."", ""Beat eggs in a large bowl; stir in milk, salt, and mustard."", ""Fold bread cubes, Cheddar cheese, and sausage into the egg mixture."", ""Pour into a lightly greased 7x11-inch baking dish. Cover and refrigerate, 8 hours to overnight."", ""Preheat the oven to 350 degrees F (175 degrees C). Remove casserole from the refrigerator 30 minutes before baking."", ""Bake in the preheated oven until a knife inserted near the center comes out clean, about 40 minutes.""]";8;7
Eggs Benedict Casserole;Breakfast And Brunch;Breakfast Casseroles;This overnight eggs Benedict casserole is easy to make ahead for brunch, a special occasion, or even for house guests.;"[""cooking spray""]";"[""Gather the ingredients. Grease a 9x13-inch baking dish with cooking spray."", ""To prepare the casserole: Whisk milk, eggs, green onions, onion powder, and salt together in a large bowl until well combined. Set aside."", ""Layer 1/2 of the Canadian bacon in the prepared baking dish; cover with English muffins."", ""Top with remaining Canadian bacon and pour egg mixture over everything. Cover the baking dish with plastic wrap and refrigerate, 8 hours to overnight."", ""Preheat the oven to 375 degrees F (190 degrees C). Remove plastic wrap and sprinkle casserole with paprika; cover the baking dish with aluminum foil."", ""Bake in the preheated oven until eggs are nearly set, about 30 minutes. Remove the foil and continue baking until eggs are completely set, about 15 minutes more."", ""Meanwhile, make the sauce: Whisk 1 cup milk and Hollandaise sauce mix in a saucepan over medium heat. Add butter; cook, stirring frequently, until boiling. Reduce heat to medium-low and simmer, stirring constantly, until thickened, about 1 minute."", ""To serve: Slice casserole into 10 pieces; transfer each piece onto a plate and drizzle warm sauce on top."", ""Enjoy!""]";1;9
Christmas Brunch Casserole;Breakfast And Brunch;Breakfast Casseroles;This Christmas breakfast casserole with hash browns, mushrooms, bacon, and eggs is easy to prepare on Christmas Eve. Just pop it in the oven for an hour on Christmas morning, and enjoy it for breakfast or brunch.;"[""1 pound bacon"", ""2 medium onions, chopped"", ""2 cups fresh sliced mushrooms"", ""1 tablespoon butter"", ""4 cups frozen hash brown potatoes, thawed"", ""1 teaspoon salt"", ""\u00bd teaspoon ground black pepper"", ""\u00bc teaspoon garlic salt"", ""4 medium eggs"", ""1 \u00bd cups milk"", ""1 pinch dried parsley"", ""1 cup shredded Cheddar cheese""]";"[""Gather all ingredients."", ""Cook bacon in a large skillet over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Transfer bacon to a paper towel-lined plate and crumble when cool enough to handle. Drain grease from the skillet."", ""Cook onions and mushrooms in the residual grease in the skillet until onions are translucent and mushrooms are tender, about 5 minutes."", ""Grease a 9x13-inch casserole dish with 1 tablespoon of butter. Place potatoes into the bottom of the dish; sprinkle with salt, pepper, and garlic salt. Top with crumbled bacon, then add onions and mushrooms."", ""Whisk milk, eggs, and parsley together in a mixing bowl; pour over casserole and top with Cheddar. Cover and refrigerate, 8 hours to overnight."", ""When ready to bake, preheat the oven to 400 degrees F (200 degrees C). Bake in the preheated oven until set, about 1 hour."", ""Serve hot and enjoy!""]";12;7
Farmer's Casserole;Breakfast And Brunch;Breakfast Casseroles;Layer the ingredients for this farmer's casserole in a baking dish the night before, then cover and refrigerate. In the morning, pop the casserole into the oven about an hour before serving. Serve with melon wedges, fresh strawberries, and orange wedges.;"[""cooking spray"", ""3 cups frozen hash brown potatoes"", ""\u00be cup shredded pepper Jack cheese"", ""1 cup cooked ham, diced"", ""\u00bc cup chopped green onions"", ""1 (12 fluid ounce) can evaporated milk"", ""4 large eggs, beaten"", ""\u00bc teaspoon ground black pepper"", ""\u215b teaspoon salt""]";"[""Preheat the oven to 350 degrees F (175 degrees C)."", ""Spray a 2-quart casserole dish with cooking spray."", ""Arrange hash brown potatoes evenly in the bottom of the prepared dish. Sprinkle with pepper Jack cheese, then ham, and finally green onions."", ""Whisk evaporated milk, eggs, pepper, and salt together in a medium bowl; pour over layers in the baking dish."", ""Bake in the preheated oven until a knife inserted in the center comes out clean, 40 to 45 minutes."", ""Remove from the oven and let rest for 5 minutes before serving.""]";9;6
Breakfast Casserole;Breakfast And Brunch;Breakfast Casseroles;This delicious breakfast casserole with sausage and cream of mushroom soup is the perfect start to any morning.;"[""1 pound breakfast sausage"", ""6 eggs"", ""2 1/2 cups milk, divided"", ""\u00be teaspoon dry mustard powder"", ""\u00bd teaspoon salt"", ""8 slices bread, cubed"", ""4 cups shredded Cheddar cheese"", ""1 (10.5 ounce) can condensed cream of mushroom soup""]";"[""Grease a 9x13-inch baking dish."", ""Cook sausage in a large skillet over medium-high heat until evenly browned, crumbly, and no longer pink in the center, 7 to 9 minutes. Drain and discard any excess grease."", ""While the sausage is cooking, whisk eggs in a mixing bowl until smooth. Whisk in 2 cups milk, mustard powder, and salt until evenly blended."", ""Spread bread cubes into the prepared dish; sprinkle sausage over top, then Cheddar cheese. Pour egg mixture over the entire dish. Cover and refrigerate, 8 hours to overnight."", ""When ready to bake, preheat the oven to 300 degrees F (150 degrees C)."", ""Remove casserole from the refrigerator and uncover. Whisk condensed soup and remaining 1/2 cup milk together in a bowl; pour mixture over casserole."", ""Bake in the preheated oven until firm and golden brown, about 1 1/2 hours.""]";8;7
